
State Machine - |top_level_transmission_e|uart_tx_e:tx_ut|state_s
Name state_s.stop_2_st state_s.stop_1_st state_s.data_st state_s.start_st state_s.idle_st 
state_s.idle_st 0 0 0 0 0 
state_s.start_st 0 0 0 1 1 
state_s.data_st 0 0 1 0 1 
state_s.stop_1_st 0 1 0 0 1 
state_s.stop_2_st 1 0 0 0 1 

State Machine - |top_level_transmission_e|morse_decoder_e:decoder_ut|state_s
Name state_s.assign_out_st state_s.assign_bit_0_dash_st state_s.assign_bit_0_dot_st state_s.bit_0_dash_hold_st state_s.temp_bit_0_st state_s.bit_0_hold_st state_s.w_bit_0_st state_s.assign_bit_1_dash_st state_s.assign_bit_1_dot_st state_s.bit_1_dash_hold_st state_s.temp_bit_1_st state_s.bit_1_hold_st state_s.w_bit_1_st state_s.assign_bit_2_dash_st state_s.assign_bit_2_dot_st state_s.bit_2_dash_hold_st state_s.temp_bit_2_st state_s.bit_2_hold_st state_s.w_bit_2_st state_s.assign_bit_3_dash_st state_s.assign_bit_3_dot_st state_s.bit_3_dash_hold_st state_s.temp_bit_3_st state_s.bit_3_hold_st state_s.w_bit_3_st state_s.assign_bit_4_dash_st state_s.assign_bit_4_dot_st state_s.bit_4_dash_hold_st state_s.temp_bit_4_st state_s.bit_4_hold_st state_s.w_bit_4_st state_s.assign_bit_5_dash_st state_s.assign_bit_5_dot_st state_s.bit_5_dash_hold_st state_s.temp_bit_5_st state_s.bit_5_hold_st state_s.w_bit_5_st state_s.assign_bit_6_dash_st state_s.assign_bit_6_dot_st state_s.bit_6_dash_hold_st state_s.temp_bit_6_st state_s.bit_6_hold_st state_s.w_bit_6_st state_s.assign_bit_7_dash_st state_s.assign_bit_7_dot_st state_s.bit_7_dash_hold_st state_s.temp_bit_7_st state_s.bit_7_hold_st state_s.idle_st 
state_s.idle_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
state_s.bit_7_hold_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
state_s.temp_bit_7_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
state_s.bit_7_dash_hold_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
state_s.assign_bit_7_dot_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
state_s.assign_bit_7_dash_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
state_s.w_bit_6_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
state_s.bit_6_hold_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
state_s.temp_bit_6_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
state_s.bit_6_dash_hold_st 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
